airport,iana_timezone,source
BIY,Africa/Johannesburg,OpenFlights airports.dat
BJA,Africa/Algiers,OpenFlights airports.dat
BJB,Asia/Tehran,OpenFlights airports.dat
BJC,America/Denver,OpenFlights airports.dat
BJF,Europe/Oslo,OpenFlights airports.dat
BJH,Asia/Katmandu,OpenFlights airports.dat
BJI,America/Chicago,OpenFlights airports.dat
BJL,Africa/Banjul,OpenFlights airports.dat
BJM,Africa/Bujumbura,OpenFlights airports.dat
BJO,America/La_Paz,OpenFlights airports.dat
BJP,America/Sao_Paulo,OpenFlights airports.dat
BJR,Africa/Addis_Ababa,OpenFlights airports.dat
BJU,Asia/Katmandu,OpenFlights airports.dat
BJV,Europe/Istanbul,OpenFlights airports.dat
BJX,America/Mexico_City,OpenFlights airports.dat
BJZ,Europe/Madrid,OpenFlights airports.dat
BKA,Europe/Moscow,OpenFlights airports.dat
BKB,Asia/Calcutta,OpenFlights airports.dat
BKC,America/Anchorage,OpenFlights airports.dat
BKD,America/Chicago,OpenFlights airports.dat
BKG,America/Chicago,OpenFlights airports.dat
BKH,Pacific/Honolulu,OpenFlights airports.dat
BKI,Asia/Kuala_Lumpur,OpenFlights airports.dat
BKK,Asia/Bangkok,OpenFlights airports.dat
BKL,America/New_York,OpenFlights airports.dat
BKM,Asia/Kuala_Lumpur,OpenFlights airports.dat
BKO,Africa/Bamako,OpenFlights airports.dat
BKQ,Australia/Brisbane,OpenFlights airports.dat
BKS,Asia/Jakarta,OpenFlights airports.dat
BKW,America/New_York,OpenFlights airports.dat
BKY,Africa/Lubumbashi,OpenFlights airports.dat
BKZ,Africa/Dar_es_Salaam,OpenFlights airports.dat
BLA,America/Caracas,OpenFlights airports.dat
BLB,America/Panama,OpenFlights airports.dat
BLE,Europe/Stockholm,OpenFlights airports.dat
BLF,America/New_York,OpenFlights airports.dat
BLG,Asia/Kuala_Lumpur,OpenFlights airports.dat
BLH,America/Los_Angeles,OpenFlights airports.dat
BLI,America/Los_Angeles,OpenFlights airports.dat
BLJ,Africa/Algiers,OpenFlights airports.dat
BLK,Europe/London,OpenFlights airports.dat
BLL,Europe/Copenhagen,OpenFlights airports.dat
BLQ,Europe/Rome,OpenFlights airports.dat
BLR,Asia/Calcutta,OpenFlights airports.dat
BLT,Australia/Brisbane,OpenFlights airports.dat
BLV,America/Chicago,OpenFlights airports.dat
BLZ,Africa/Blantyre,OpenFlights airports.dat
BMA,Europe/Stockholm,OpenFlights airports.dat
BMC,America/Denver,OpenFlights airports.dat
BMD,Indian/Antananarivo,OpenFlights airports.dat
BME,Australia/Perth,OpenFlights airports.dat
BMG,America/New_York,OpenFlights airports.dat
BMI,America/Chicago,OpenFlights airports.dat
BMK,Europe/Berlin,OpenFlights airports.dat
BMM,Africa/Libreville,OpenFlights airports.dat
BMO,Asia/Rangoon,OpenFlights airports.dat
BMP,Australia/Brisbane,OpenFlights airports.dat
BMT,America/Chicago,OpenFlights airports.dat
BMU,Asia/Makassar,OpenFlights airports.dat
BMV,Asia/Saigon,OpenFlights airports.dat
BMW,Africa/Algiers,OpenFlights airports.dat
BMX,America/Anchorage,OpenFlights airports.dat
BMY,Pacific/Noumea,OpenFlights airports.dat
BNA,America/Chicago,OpenFlights airports.dat
BND,Asia/Tehran,OpenFlights airports.dat
BNE,Australia/Brisbane,OpenFlights airports.dat
BNI,Africa/Lagos,OpenFlights airports.dat
BNK,Australia/Sydney,OpenFlights airports.dat
BNN,Europe/Oslo,OpenFlights airports.dat
BNO,America/Los_Angeles,OpenFlights airports.dat
BNP,Asia/Karachi,OpenFlights airports.dat
BNS,America/Caracas,OpenFlights airports.dat
BNU,America/Sao_Paulo,OpenFlights airports.dat
BNX,Europe/Sarajevo,OpenFlights airports.dat
BOA,Africa/Kinshasa,OpenFlights airports.dat
BOB,Pacific/Tahiti,OpenFlights airports.dat
BOC,America/Panama,OpenFlights airports.dat
BOD,Europe/Paris,OpenFlights airports.dat
